Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
ATM/150/7,-0.15973715905917618,0.6413730050161103,0.044657908740756196,-0.5613784652738745,-0.28454450774353574,ATM,150,7,21,0,2,0.6887,0.0854
ATM/150/10,-0.11496411975595444,0.8665071949984573,0.2713839150025274,-0.8322153035623413,-0.13814228032558942,ATM,150,10,18,0,1,0.653,0.0854
ATM/150/14,-0.23139251866544552,0.7409802822305323,0.013905196154066381,-0.6593601445441609,-0.3509349489502666,ATM,150,14,18,0,0,0.4669,0.0854
ATM/150/21,-0.3598359384383124,0.8656312096972844,-0.09241731355314951,-0.8360035350175133,-0.4304239436389157,ATM,150,21,17,0,0,0.5165,0.0854
ATM/150/30,-1.0,23.352385297242616,-0.5175391279368079,-1.0351125154432714,-0.9660785519260822,ATM,150,30,15,0,9,0.5602,0.0854
ATM/150/45,-1.0,11.751301949958401,0.5649585608506565,-1.1028058553076276,-0.9067779203267379,ATM,150,45,16,0,15,0.5576,0.0854
ATM/150/60,-0.2230346148605591,0.5653640631470378,-0.1595062716431882,-0.6834180977321292,-0.3263516368686788,ATM,150,60,20,0,3,0.8192,0.0854
ATM/180/3,-0.0191357301670515,0.6244472856747543,0.2793456478352042,-0.5176271438054019,-0.03696817370583147,ATM,180,3,22,0,3,0.7264,0.0854
ATM/180/5,0.0021737284400273893,0.5928650421884268,0.2933684176380103,-0.5252885230953369,0.004138160923864064,ATM,180,5,23,0,3,0.7472,0.0854
ATM/180/7,0.0021737284400273893,0.5928650421884268,0.2933684176380103,-0.5252885230953369,0.004138160923864064,ATM,180,7,23,0,3,0.7472,0.0854
ATM/180/10,-0.07855390417925445,0.6640726488921387,0.2020483018594905,-0.6782386206994582,-0.11582045283449487,ATM,180,10,19,0,1,0.6362,0.0854
ATM/180/14,-0.16479700650099205,0.6668041783485298,0.062236037622522986,-0.5565624915155165,-0.29609793870990253,ATM,180,14,18,0,0,0.4606,0.0854
ATM/180/21,-0.3540905327890983,0.8064637731330778,-0.1387812704146449,-0.8248641932788743,-0.42927130996142726,ATM,180,21,16,0,0,0.5672,0.0854
ATM/180/30,-1.0,9.571976296673881,0.3088736484597167,-1.0742059221435598,-0.9309202075562168,ATM,180,30,15,0,1,0.5625,0.0854
ATM/180/45,-1.0,11.034777850628922,0.2591242542360319,-1.028295229753049,-0.9724833599005956,ATM,180,45,16,0,15,0.5066,0.0854
ATM/180/60,-0.19540811990290907,0.6513397289522321,-0.014194177207891918,-0.6320340201923987,-0.30917342051211816,ATM,180,60,20,0,2,0.7806,0.0854
10% OTM/30/3,0.29588024786477307,0.30035978994878937,1.0157744819900396,-0.25121677859557,1.177788559820306,10% OTM,30,3,60,0,5,0.5505,0.0854
10% OTM/30/5,0.24124684056589696,0.28862007955508695,0.8948099061421004,-0.32791309826114556,0.7357035807510538,10% OTM,30,5,54,0,5,0.5593,0.0854
10% OTM/30/7,0.24276398351613793,0.28841897637139713,0.8995008000114765,-0.3241852675485325,0.7488433553810235,10% OTM,30,7,54,0,5,0.5617,0.0854
10% OTM/30/10,0.08362748776732154,0.3046713062185916,0.4150461170423768,-0.4322096660781898,0.19348824038607396,10% OTM,30,10,44,0,8,0.5379,0.0854
10% OTM/30/14,0.061338035218148734,0.29717697925307685,0.34805646122630524,-0.46677950870112794,0.13140687214147306,10% OTM,30,14,38,0,10,0.5742,0.0854
10% OTM/30/21,-0.0055968854577674865,0.31954946602945694,0.14134258716590625,-0.5362727878750829,-0.010436638935092118,10% OTM,30,21,27,0,17,1.1224,0.0854
10% OTM/45/3,0.16930265208857564,0.34370055940262983,0.6265609858524839,-0.381335186345913,0.4439733288472349,10% OTM,45,3,38,0,6,0.5154,0.0854
10% OTM/45/5,0.2615295384218208,0.29353174348313876,0.9402801413122169,-0.32756051750996995,0.7984159397777867,10% OTM,45,5,40,0,5,0.4757,0.0854
10% OTM/45/7,0.2615295384218208,0.29353174348313876,0.9402801413122169,-0.32756051750996995,0.7984159397777867,10% OTM,45,7,40,0,5,0.4757,0.0854
10% OTM/45/10,0.1450286135498815,0.29911608345234386,0.6020128260010477,-0.3846280253770441,0.3770620027173332,10% OTM,45,10,38,0,8,0.4711,0.0854
