Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
20% OTM/60/10,0.16884036181727158,0.4461017163175709,0.5719902146942307,-0.39351147688601307,0.42906083236342024,20% OTM,60,10,37,0,1,0.0,0.0
20% OTM/60/14,0.08834928179571366,0.45804991279742624,0.4102424640976607,-0.4140170899336808,0.2133952533453773,20% OTM,60,14,36,0,3,0.0,0.0
20% OTM/60/21,0.15509532462090325,0.4689908136243283,0.5399726394023137,-0.39351147688601307,0.3941316422286436,20% OTM,60,21,40,0,3,0.0,0.0
20% OTM/60/30,0.1394179721742137,0.40666428920651465,0.5233008668704432,-0.5673750587492219,0.24572453445796608,20% OTM,60,30,28,3,22,0.0,0.0
20% OTM/60/45,0.08332793278269679,0.3437939679919642,0.40373088429530574,-0.46598448813969384,0.17882125886927927,20% OTM,60,45,16,3,35,0.0,0.0
20% OTM/90/3,-0.03629697480975924,0.5461456401460636,0.19799933006222448,-0.5580806847308468,-0.0650389375637766,20% OTM,90,3,32,0,2,0.0,0.0
20% OTM/90/5,0.11895872082779113,0.48615480598519645,0.4658435077513415,-0.34256232095764705,0.34726154498030354,20% OTM,90,5,33,1,5,0.0,0.0
20% OTM/90/7,0.11895872082779113,0.48615480598519645,0.4658435077513415,-0.34256232095764705,0.34726154498030354,20% OTM,90,7,33,1,5,0.0,0.0
20% OTM/90/10,-0.07991877573057327,0.5399298139800295,0.11278808300532628,-0.5487737421085085,-0.1456315592351556,20% OTM,90,10,31,0,1,0.0,0.0
20% OTM/90/14,-0.11603902669607735,0.59138531007554,0.08359893845486956,-0.5494308859679276,-0.21119858686439227,20% OTM,90,14,30,0,3,0.0,0.0
20% OTM/90/21,0.1622673994411059,0.5266012967860697,0.5495998088019591,-0.3933990796946354,0.4124752898940721,20% OTM,90,21,32,0,4,0.0,0.0
20% OTM/90/30,0.050018260325703334,0.43528253100733616,0.3275319428121971,-0.5673750587492219,0.0881573124415595,20% OTM,90,30,23,3,30,0.0,0.0
