Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses
ATM/210/60,0.008253394317687457,0.4208898231458162,0.2258871659862298,-0.47861747950354083,0.01724423923306879,ATM,210,60,17,0
ATM/240/3,0.007952898285782606,0.5349502653957555,0.2815967449902595,-0.5046459397320179,0.015759362475017302,ATM,240,3,18,0
ATM/240/5,-0.013735238559168916,0.5398692681609606,0.243471462060815,-0.5072124047023377,-0.02707985536597743,ATM,240,5,18,0
ATM/240/7,-0.013735238559168916,0.5398692681609606,0.243471462060815,-0.5072124047023377,-0.02707985536597743,ATM,240,7,18,0
ATM/240/10,0.1272355406380945,0.40483198845104335,0.49709541512054456,-0.2933663686186859,0.43370868050479816,ATM,240,10,21,0
ATM/240/14,-0.009168299218437204,0.4377992669608266,0.1968157921525896,-0.33145620273916254,-0.02766066570083813,ATM,240,14,19,0
ATM/240/21,0.008365311455239999,0.41151091341310897,0.22623198647767484,-0.2631167849249223,0.031793150169522465,ATM,240,21,16,0
ATM/240/30,-0.015350236101187908,0.42243303697707374,0.1759300444850994,-0.2968393644848296,-0.05171226574962029,ATM,240,30,12,0
ATM/240/45,0.0778337589195921,0.37683681302081595,0.3886462086662779,-0.2038972647274736,0.381730274918713,ATM,240,45,16,0
ATM/240/60,0.008296344613284878,0.4178126277017882,0.2246031165424362,-0.470279273065071,0.01764131461549006,ATM,240,60,17,0
ATM/270/3,0.007952898285782606,0.5349502653957555,0.2815967449902595,-0.5046459397320179,0.015759362475017302,ATM,270,3,18,0
ATM/270/5,-0.013735238559168916,0.5398692681609606,0.243471462060815,-0.5072124047023377,-0.02707985536597743,ATM,270,5,18,0
ATM/270/7,-0.013735238559168916,0.5398692681609606,0.243471462060815,-0.5072124047023377,-0.02707985536597743,ATM,270,7,18,0
ATM/270/10,0.1272355406380945,0.40483198845104335,0.49709541512054456,-0.2933663686186859,0.43370868050479816,ATM,270,10,21,0
ATM/270/14,-0.009168299218437204,0.4377992669608266,0.1968157921525896,-0.33145620273916254,-0.02766066570083813,ATM,270,14,19,0
ATM/270/21,-0.03836106580361465,0.4082444606796339,0.10758338482671169,-0.31047724648115926,-0.12355515980119502,ATM,270,21,16,0
ATM/270/30,-0.015350236101187908,0.42243303697707374,0.1759300444850994,-0.2968393644848296,-0.05171226574962029,ATM,270,30,12,0
ATM/270/45,0.046815891046486646,0.3724655393817566,0.30981153936195877,-0.28935326844884235,0.1617949273476539,ATM,270,45,16,0
ATM/270/60,0.008296344613284878,0.4178126277017882,0.2246031165424362,-0.470279273065071,0.01764131461549006,ATM,270,60,17,0
10% OTM/30/3,0.38819365353435686,0.2654414066332443,1.373643347761305,-0.19488404622427702,1.9919211503214314,10% OTM,30,3,66,0
10% OTM/30/5,0.3099156836788004,0.2643783369332067,1.1566340961673285,-0.2643433398561045,1.1723983053535727,10% OTM,30,5,62,0
10% OTM/30/7,0.3114914475706787,0.2642321521524267,1.161711968368246,-0.2604322909116995,1.1960553988149303,10% OTM,30,7,62,0
10% OTM/30/10,0.21360019536858932,0.2655564775648918,0.8635940637875357,-0.2795602917059138,0.7640577067121112,10% OTM,30,10,55,0
10% OTM/30/14,0.14551525272354526,0.26562859794773597,0.645048745394248,-0.37759016167103454,0.38537882470126855,10% OTM,30,14,47,0
10% OTM/30/21,0.22209427417227334,0.26005588798583396,0.9043306486585138,-0.20966936172053985,1.0592595520383858,10% OTM,30,21,32,0
10% OTM/45/3,0.28864904754632037,0.2914718460649379,1.018410288344508,-0.22759962710643356,1.2682316364751247,10% OTM,45,3,48,0
