Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
20% OTM/120/10,-0.23615833362247607,0.6014865878844704,-0.14888306126269346,-0.6990532137520512,-0.33782597515707813,20% OTM,120,10,27,0,1,0.1266,0.0854
20% OTM/120/14,-0.34642089763837103,0.7087007067399621,-0.248401638088736,-0.8320635798672883,-0.4163394553257867,20% OTM,120,14,25,0,0,0.1186,0.0854
20% OTM/120/21,-0.07645702335160887,0.5866642719444529,0.1566819967380075,-0.5256067551967862,-0.1454643088119815,20% OTM,120,21,23,0,0,0.1357,0.0854
20% OTM/120/30,0.05838084299371249,0.46044607882886757,0.3496490190021818,-0.599020627884826,0.09746048846407573,20% OTM,120,30,21,3,30,0.1596,0.0854
20% OTM/120/45,0.030640916761558223,0.38755522603806164,0.26918911406555596,-0.5041951543535418,0.06077193820088323,20% OTM,120,45,20,3,34,0.2188,0.0854
20% OTM/120/60,0.05896796251872338,0.6254276723399577,0.40186742900580297,-0.5325196741845665,0.11073386651679958,20% OTM,120,60,24,0,7,0.2816,0.0854
20% OTM/150/3,-0.0027424339273975917,0.4834792092337163,0.23290207012501846,-0.38834045706858833,-0.007061932068832132,20% OTM,150,3,23,0,3,0.1469,0.0854
20% OTM/150/5,0.0285718852304242,0.5267451410469064,0.31234557347476233,-0.45677413924491495,0.06255145109058903,20% OTM,150,5,24,2,1,0.1466,0.0854
20% OTM/150/7,0.0285718852304242,0.5267451410469064,0.31234557347476233,-0.45677413924491495,0.06255145109058903,20% OTM,150,7,24,2,1,0.1466,0.0854
20% OTM/150/10,-0.09515870181860986,0.5953820021023429,0.1263974560504186,-0.4979582960215193,-0.1910977336433362,20% OTM,150,10,22,0,1,0.2348,0.0854
20% OTM/150/14,-0.3168366457453896,0.9249432175566629,0.03803279944837955,-0.7925758183016733,-0.39975563022387595,20% OTM,150,14,18,0,0,0.0951,0.0854
20% OTM/150/21,-0.057722138650228016,0.7397117938831498,0.2895957966363194,-0.6417941057428569,-0.08993871731404642,20% OTM,150,21,20,0,0,0.2106,0.0854
20% OTM/150/30,0.024110577214593976,0.606927190656932,0.34520795103334817,-0.599020627884826,0.040249994895384014,20% OTM,150,30,14,3,30,0.171,0.0854
20% OTM/150/45,-0.05800003328342895,0.47946236134888837,0.10871312398118792,-0.5041951543535418,-0.11503488834158711,20% OTM,150,45,14,3,35,0.1467,0.0854
20% OTM/150/60,0.002751675296762013,0.6126374191479894,0.30568609623355647,-0.5408114771476498,0.005088049002352744,20% OTM,150,60,21,0,4,0.2795,0.0854
20% OTM/180/3,0.07291388151103662,0.4681271770605124,0.38309135258284155,-0.38834045706858833,0.18775762397106782,20% OTM,180,3,23,0,3,0.1349,0.0854
20% OTM/180/5,0.05182037859581112,0.5368731422436678,0.3580384873779575,-0.44504755205718693,0.11643784659926047,20% OTM,180,5,23,2,1,0.1525,0.0854
20% OTM/180/7,0.05182037859581112,0.5368731422436678,0.3580384873779575,-0.44504755205718693,0.11643784659926047,20% OTM,180,7,23,2,1,0.1525,0.0854
20% OTM/180/10,-0.03272950431750943,0.5815846287940041,0.22965727785222698,-0.49529076734089394,-0.06608139395213616,20% OTM,180,10,22,0,1,0.2566,0.0854
20% OTM/180/14,-0.04505173592561951,0.59175359434378,0.2107460284336929,-0.5604408225626314,-0.08038624973751765,20% OTM,180,14,19,0,0,0.0994,0.0854
